Imagename,Depth,lat,lon,alt,num,fn
201503.20150517.073805335.5550.png,30.5,38.059252,-74.784698,2.21,0,0
201503.20150517.074844799.9371.png,34.54,38.046737,-74.774132,1.56,74,8
201503.20150517.081914016.20300.png,33.37,38.023858,-74.71859,1.88,4,0
201503.20150517.085209176.32100.png,30.99,37.99821,-74.65843,2.18,0,0
201503.20150517.102823332.66600.png,55.67,37.91788,-74.469275,2.07,0,0
201503.20150517.104434163.72400.png,57.83,37.904523,-74.437755,2.39,0,0
201503.20150517.121321138.104150.png,70.72,37.815857,-74.316308,2.03,0,0
201503.20150517.132149775.128700.png,70.92,37.711963,-74.376395,2.15,0,0
201503.20150517.140101147.142750.png,63.7,37.713232,-74.443385,2.35,0,0
201503.20150517.140447079.144100.png,64.03,37.715572,-74.450925,1.88,0,0
201503.20150517.154011191.178300.png,56.64,37.732143,-74.616807,2.03,0,0
201503.20150517.155655333.184300.png,55.09,37.70426,-74.633238,1.55,0,0
201503.20150517.160607608.187600.png,55.14,37.688448,-74.641455,1.89,0,0
201503.20150517.164403838.201200.png,54.41,37.624742,-74.67618,1.88,0,0
201503.20150517.185256415.247400.png,66.94,37.506865,-74.516118,1.85,0,0
201503.20150517.194958375.5100.png,69.75,37.426398,-74.588693,2.13,0,0
201503.20150518.021240793.142300.png,50.13,37.56444,-74.700798,2.27,0,0
201503.20150518.031132043.163400.png,49.26,37.666825,-74.716188,1.96,0,0
201503.20150518.032725969.169100.png,49.42,37.693865,-74.710575,1.69,0,0
201503.20150518.052057582.209800.png,44.3,37.890522,-74.646953,1.63,0,0
201503.20150518.053404157.214500.png,43.01,37.913417,-74.645172,1.92,0,0
201503.20150518.070550211.247400.png,37.72,38.069715,-74.578547,1.94,0,0
201503.20150518.071908003.252167.png,38.04,38.093408,-74.571372,2.01,219,28
201503.20150518.080802272.269700.png,37.53,38.169427,-74.530937,1.92,0,0
201503.20150518.085741252.287500.png,43.89,38.122058,-74.43674,2,0,0
201503.20150518.100056411.310177.png,53.82,38.063298,-74.314545,2.07,98,1
201503.20150518.102853833.320200.png,61.46,38.033807,-74.262225,2.37,0,0
201503.20150518.105540458.329800.png,65.22,38.039513,-74.219053,2.19,0,0
201503.20150518.114355730.347100.png,67.6,38.116365,-74.171597,2.06,0,0
201503.20150518.115251276.350300.png,67.62,38.130065,-74.161373,2.15,0,0
201503.20150518.121042367.356700.png,67.17,38.158173,-74.141897,1.81,0,0
201503.20150518.123638794.366000.png,68.17,38.191125,-74.175038,2.14,0,0
201503.20150518.151538327.423000.png,54.15,38.379903,-74.242228,1.97,0,0
201503.20150518.152224162.425425.png,55.87,38.371465,-74.22994,1.63,0,0
201503.20150518.152626837.426875.png,56.38,38.366402,-74.222625,1.95,0,0
201503.20150518.153119709.428625.png,52.4,38.360225,-74.21372,1.93,0,0
201503.20150518.153312666.429300.png,54.16,38.357853,-74.210337,2.2,0,0
